نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني,الرياض,المهدية,شمالية,445,3000.0,1335000
أرض,سكني,الرياض,النهضة,شرقية,420,3000.0,1260000
أرض,سكني,الرياض,المهدية,جنوبية شرقية,450,3000.0,1350000
أرض,سكني,الرياض,الشرق,شمالية,454,2500.0,1135000
أرض,سكني,الرياض,ظهرة لبن,جنوبية,1200,2500.0,3000000
أرض,سكني,الرياض,الرياض,شمالية,910,9891.0,9000810
أرض,سكني,الرياض,المهدية,جنوبية,450,9891.0,4450950
أرض,سكني,الرياض,شارع ابن ماجه,غير معروف,10500,2700.0,28350000
أرض,سكني,الرياض,المغرزات,جنوبية شرقية,1050,8000.0,8400000
أرض,سكني,الرياض,المهدية,جنوبية شرقية,1050,8000.0,8400000
أرض,سكني,الرياض,المهدية,شمالية,536,2600.0,1393600
أرض,سكني,الرياض,القيروان,شمالية,536,2600.0,1393600
أرض,سكني,الرياض,القيروان,غربية,600,6300.0,3780000
أرض,سكني,الرياض,المهدية,شمالية غربية,585,6300.0,3685500
أرض,سكني,الرياض,المهدية,غربية,744,1800.0,1339200
أرض,سكني,الرياض,السعادة,غربية,744,1800.0,1339200
أرض,سكني,الرياض,المهدية,شمالية,418,2700.0,1128600
أرض,سكني,الرياض,ضاحية نمار,شمالية,750,2700.0,2025000
أرض,سكني,الرياض,النرجس,غربية,399,5800.0,2314200
أرض,سكني,الرياض,المهدية,جنوبية,1250,2800.0,3500000
أرض,سكني,الرياض,المهدية,جنوبية,1250,2800.0,3500000
أرض,سكني,الرياض,العليا,جنوبية,1250,2800.0,3500000
أرض,سكني,حريملاء,الرياض,جنوبية,2254,900.0,2028600
أرض,سكني,الرياض,المهدية,شمالية غربية,787,3200.0,2518400
أرض,سكني,الرياض,العارض,غير معروف,1490,777.0,1157730
أرض,سكني,الرياض,غير معروف,جنوبية,450,4555.0,2049750
أرض,تجاري وسكني,الرياض,الرياض,غربية,900,2300.0,2070000
أرض,تجاري وسكني,الرياض,العوالي,شمالية,1060,2000.0,2120000
أرض,سكني,الرياض,بدر,غربية,900,1300.0,1170000
أرض,سكني,الرياض,ضاحية نمار,شمالية غربية,2001,1111.0,2223111
أرض,غير معروف,الرياض,ضاحية نمار,شمالية,1993,1004.0,2000972
أرض,غير معروف,الرياض,الهدا,غربية,856,6200.0,5307200
أرض,غير معروف,الرياض,الهدا,شمالية شرقية,2033,6200.0,12604600
أرض,غير معروف,الرياض,النرجس,شمالية شرقية,2033,6200.0,12604600
